,$,private,public,rpar,lpar,id,dot,semi,colon,let,float,integer,rcurbr,lcurbr,struct,return,write,read,while,else,then,if,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,inherits,and,div,mult,rsqbr,lsqbr,impl,arrow,func,not,floatlit,intlit,equal,or
STRUCTORIMPLORFUNC, , , , , , , , , , , , , , ,STRUCTORIMPLORFUNC → STRUCTDECL P1, , , , , , , , , , , , , , , , , , , , , , , ,STRUCTORIMPLORFUNC → IMPLDEF P2, ,STRUCTORIMPLORFUNC → FUNCDEF, , , , , 
TERM, , , , ,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM, , , , , , , , , , , , , , , , ,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM, , , , , , , , , , , , , , , , , ,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM, , 
TYPE, , , , , ,TYPE → id T1, , , , ,TYPE → float T1,TYPE → integer T1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
VARDECL, , , , , , , , , ,VARDECL → let id I1 colon TYPE AA REPTVARDECL4 A3 V2 semi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
VARDECLORSTAT, , , , , ,VARDECLORSTAT → STATEMENT, , , ,VARDECLORSTAT → VARDECL, , , , , ,VARDECLORSTAT → STATEMENT,VARDECLORSTAT → STATEMENT,VARDECLORSTAT → STATEMENT,VARDECLORSTAT → STATEMENT, , ,VARDECLORSTAT → STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
VARIABLE, , , , , ,VARIABLE → id I1 VARIABLE2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
VARIABLE2, , , ,VARIABLE2 → AA REPTIDNEST1 I2 F8 REPTVARIABLE,VARIABLE2 → lpar APARAMS rpar F7 VARIDNEST, ,VARIABLE2 → AA REPTIDNEST1 I2 F8 REPTVARIABLE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,VARIABLE2 → AA REPTIDNEST1 I2 F8 REPTVARIABLE, , , , , , ,VARIABLE2 → AA REPTIDNEST1 I2 F8 REPTVARIABLE, 
REPTVARIABLE, , , ,REPTVARIABLE → &epsilon, , ,REPTVARIABLE → VARIDNEST REPTVARIABLE, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,REPTVARIABLE → &epsilon, 
VARIDNEST, , , , , , ,VARIDNEST → dot D1 id I1 VARIDNEST2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
VARIDNEST2, , , ,VARIDNEST2 → AA REPTIDNEST1 I2 F8 D2,VARIDNEST2 → lpar APARAMS rpar F7 D2 VARIDNEST, ,VARIDNEST2 → AA REPTIDNEST1 I2 F8 D2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,VARIDNEST2 → AA REPTIDNEST1 I2 F8 D2, , , , , , ,VARIDNEST2 → AA REPTIDNEST1 I2 F8 D2, 
VISIBILITY, ,VISIBILITY → private V1,VISIBILITY → public V1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
